PID,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,loan_status
819438,721327,,5000.0,5000.0,5000.0, 36 months,8.46%,157.75,A,A5,Line lead,10+ years,MORTGAGE,29016.0,Source Verified,Oct-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=142867177,,car,Car financing,228xx,VA,26.43,0.0,Apr-04,710.0,714.0,0.0,32.0,,10.0,0.0,8511.0,38.20%,18.0,w,0.0,0.0,5339.58277,5339.58,5000.0,339.58,0.0,0.0,0.0,Sep-19,3782.05,,Oct-19,729.0,725.0,0.0,,1.0,Individual,,,,0.0,0.0,109958.0,1.0,1.0,0.0,0.0,27.0,7855.0,75.0,1.0,3.0,2422.0,50.0,22300.0,0.0,0.0,0.0,3.0,10996.0,12046.0,27.4,0.0,0.0,45.0,174.0,5.0,5.0,1.0,5.0,,,32.0,0.0,5.0,8.0,5.0,6.0,4.0,8.0,13.0,8.0,10.0,0.0,0.0,0.0,1.0,94.4,20.0,0.0,0.0,147700.0,16366.0,16600.0,10500.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
89436,1612331,,12000.0,12000.0,12000.0, 60 months,14.99%,285.42,C,C4,Quality Control Tech,2 years,MORTGAGE,120000.0,Not Verified,Nov-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=94147812,,debt_consolidation,Debt consolidation,752xx,TX,9.47,0.0,Jul-00,665.0,669.0,0.0,54.0,,8.0,0.0,12001.0,99.20%,24.0,w,0.0,0.0,9010.58,9010.58,5337.25,2762.5,0.0,910.83,163.9494,Jan-19,285.42,,May-19,559.0,555.0,0.0,71.0,1.0,Individual,,,,0.0,0.0,177485.0,0.0,2.0,0.0,1.0,19.0,15261.0,83.0,0.0,0.0,2860.0,90.0,12100.0,1.0,0.0,1.0,2.0,22186.0,0.0,101.5,0.0,0.0,125.0,196.0,37.0,13.0,3.0,112.0,71.0,8.0,70.0,1.0,2.0,5.0,2.0,8.0,5.0,5.0,16.0,5.0,8.0,0.0,0.0,0.0,0.0,83.3,100.0,0.0,0.0,182949.0,27262.0,5600.0,18324.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,Y
1486093,1729140,,1500.0,1500.0,1500.0, 36 months,7.99%,47.0,A,A4,Teacher,10+ years,MORTGAGE,75000.0,Not Verified,Aug-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=87335011,,debt_consolidation,Debt consolidation,790xx,TX,34.21,0.0,Mar-97,715.0,719.0,0.0,69.0,,7.0,0.0,14383.0,85.10%,40.0,w,0.0,0.0,1610.883696,1610.88,1500.0,110.88,0.0,0.0,0.0,Sep-17,1048.21,,Aug-20,644.0,640.0,0.0,,1.0,Individual,,,,0.0,0.0,247428.0,0.0,4.0,0.0,1.0,22.0,132699.0,37.0,0.0,0.0,14179.0,57.0,16900.0,1.0,0.0,2.0,1.0,35347.0,2517.0,85.1,0.0,0.0,138.0,233.0,26.0,22.0,1.0,26.0,,5.0,,0.0,2.0,2.0,2.0,5.0,32.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,94.4,50.0,0.0,0.0,275742.0,147082.0,16900.0,150835.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
653911,1337273,,8000.0,8000.0,8000.0, 36 months,11.99%,265.68,B,B5,Financial Systems Analyst,2 years,RENT,60000.0,Source Verified,Jul-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=113906107,,debt_consolidation,Debt consolidation,021xx,MA,15.0,0.0,Sep-09,665.0,669.0,1.0,,,18.0,0.0,14048.0,58.50%,27.0,w,0.0,0.0,9347.423841,9347.42,8000.0,1347.42,0.0,0.0,0.0,Jul-19,3506.66,,Feb-20,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,80532.0,1.0,13.0,0.0,3.0,21.0,66484.0,101.0,1.0,3.0,6884.0,90.0,24000.0,1.0,0.0,1.0,6.0,4474.0,9952.0,58.5,0.0,0.0,94.0,55.0,4.0,4.0,0.0,4.0,,2.0,,0.0,4.0,4.0,5.0,11.0,15.0,5.0,12.0,4.0,18.0,0.0,0.0,0.0,1.0,100.0,40.0,0.0,0.0,89787.0,80532.0,24000.0,65787.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
1985095,1697751,,9000.0,9000.0,9000.0, 36 months,11.49%,296.75,B,B5,Quality Control Director,3 years,RENT,50000.0,Source Verified,Sep-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88838665,,debt_consolidation,Debt consolidation,926xx,CA,12.15,0.0,Oct-05,685.0,689.0,0.0,26.0,16.0,6.0,1.0,2584.0,30.40%,20.0,f,0.0,0.0,10984.21,10984.21,9000.0,1969.21,15.00000009,0.0,0.0,Feb-20,93.95,,Mar-20,674.0,670.0,0.0,,1.0,Individual,,,,0.0,80.0,43288.0,1.0,2.0,0.0,1.0,16.0,40704.0,19.0,3.0,3.0,1183.0,25.0,8500.0,1.0,0.0,2.0,4.0,7215.0,5459.0,24.2,0.0,0.0,122.0,131.0,3.0,3.0,0.0,10.0,26.0,10.0,26.0,0.0,2.0,4.0,2.0,3.0,14.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,3.0,94.4,50.0,0.0,0.0,57005.0,43288.0,7200.0,48505.0,,,,,,,,,,,,,,N,ST0650PV01,EXCESSOBLI,COMPLETE,3.0,0.0,Oct-17,Dec-17,Oct-17,3.0,24.0,INCOLLECTION,0.0,0.0,93.95,N,,,,,,,N
733980,208984,,13000.0,13000.0,13000.0, 36 months,7.56%,404.74,A,A3,Baker,10+ years,MORTGAGE,38480.0,Source Verified,Oct-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=160014639,,credit_card,Credit card refinancing,321xx,FL,25.64,0.0,Dec-92,765.0,769.0,0.0,,,9.0,0.0,20212.0,41.80%,16.0,w,0.0,0.0,13715.0,13715.0,13000.0,715.0,0.0,0.0,0.0,Aug-20,10083.26,Sep-20,Aug-20,814.0,810.0,0.0,,1.0,Individual,,,,0.0,0.0,213826.0,0.0,1.0,0.0,1.0,15.0,11966.0,89.0,0.0,1.0,12110.0,52.0,48300.0,0.0,5.0,0.0,2.0,23758.0,4890.0,71.2,0.0,0.0,15.0,322.0,16.0,15.0,3.0,37.0,,,,0.0,1.0,3.0,2.0,3.0,1.0,7.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,274693.0,32178.0,17000.0,13443.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
2228405,2058957,,8950.0,8950.0,8950.0, 36 months,15.41%,312.06,D,D1,Medical Assistant,1 year,RENT,26000.0,Verified,Nov-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=65704491,,debt_consolidation,Debt consolidation,604xx,IL,24.07,0.0,Oct-11,705.0,709.0,0.0,,,14.0,0.0,8841.0,28.30%,14.0,f,0.0,0.0,10567.01682,10567.02,8950.0,1617.02,0.0,0.0,0.0,May-17,5568.13,,Aug-20,779.0,775.0,0.0,,1.0,Individual,,,,0.0,0.0,110243.0,,,,,,,,,,,,31200.0,,,,10.0,8480.0,5218.0,52.6,0.0,0.0,49.0,24.0,7.0,7.0,1.0,7.0,,8.0,,0.0,2.0,4.0,3.0,3.0,5.0,8.0,8.0,4.0,14.0,0.0,0.0,0.0,5.0,100.0,33.3,0.0,0.0,137962.0,23241.0,11000.0,18240.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
2519883,435021,,31900.0,31900.0,31900.0, 60 months,17.97%,809.53,D,D1,mechanic,5 years,MORTGAGE,90000.0,Verified,May-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=152333029,,other,Other,980xx,WA,23.69,0.0,Oct-09,670.0,674.0,0.0,,82.0,14.0,1.0,15530.0,36.50%,26.0,w,28348.94,28348.94,8063.45,8063.45,3551.06,4512.39,0.0,0.0,0.0,Jul-20,0.0,Sep-20,Aug-20,649.0,645.0,0.0,,1.0,Individual,,,,0.0,0.0,336656.0,1.0,3.0,1.0,2.0,2.0,48156.0,78.0,1.0,4.0,3284.0,61.0,42500.0,1.0,1.0,2.0,8.0,24047.0,15376.0,31.7,0.0,0.0,115.0,109.0,7.0,2.0,3.0,7.0,,2.0,,0.0,3.0,5.0,6.0,8.0,7.0,10.0,16.0,5.0,14.0,0.0,0.0,0.0,4.0,100.0,33.3,1.0,0.0,380874.0,63686.0,22500.0,61614.0,,,,,,,,,,,,,,N,CVD19SKIP,UNEMPLOYMENT,COMPLETE,4.0,0.0,Jul-20,Aug-20,Jun-20,4.0,17.0,INCOLLECTION,3570.56,29863.08,332.41,N,,,,,,,Y
1223360,593531,,30000.0,30000.0,30000.0, 36 months,17.97%,1084.13,D,D1,Truck Driver,6 years,MORTGAGE,80000.0,Not Verified,Jan-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=147074125,,credit_card,Credit card refinancing,087xx,NJ,16.65,1.0,Aug-94,695.0,699.0,0.0,18.0,,16.0,0.0,12355.0,29.10%,26.0,w,16162.6,16162.6,20538.57,20538.57,13837.4,6701.17,0.0,0.0,0.0,Aug-20,1084.13,Sep-20,Aug-20,709.0,705.0,0.0,,1.0,Individual,,,,0.0,0.0,296731.0,0.0,1.0,1.0,1.0,12.0,12153.0,72.0,0.0,0.0,4164.0,41.0,42500.0,0.0,0.0,1.0,2.0,18546.0,18637.0,34.4,0.0,0.0,293.0,121.0,29.0,12.0,4.0,30.0,18.0,11.0,18.0,0.0,6.0,8.0,10.0,10.0,6.0,14.0,16.0,8.0,16.0,0.0,0.0,0.0,1.0,96.2,10.0,0.0,0.0,340533.0,24508.0,28400.0,17000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
1223705,1784550,,5000.0,5000.0,5000.0, 36 months,9.49%,160.15,B,B2,CAP TEAM SUPERVISOR,3 years,MORTGAGE,60000.0,Not Verified,Jun-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=83816135,,credit_card,Credit card refinancing,370xx,TN,6.09,0.0,Jan-92,670.0,674.0,0.0,31.0,,3.0,0.0,10293.0,91.90%,17.0,w,0.0,0.0,5714.718473,5714.72,5000.0,714.72,0.0,0.0,0.0,Sep-18,1553.46,,Aug-20,629.0,625.0,0.0,,1.0,Individual,,,,0.0,0.0,10293.0,0.0,0.0,0.0,0.0,59.0,0.0,,0.0,0.0,2805.0,92.0,11200.0,1.0,5.0,2.0,0.0,5147.0,195.0,93.5,0.0,0.0,146.0,293.0,30.0,30.0,1.0,46.0,35.0,5.0,35.0,0.0,1.0,2.0,1.0,3.0,8.0,3.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,81.2,100.0,0.0,0.0,11200.0,10293.0,3000.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,,N
2609792,2646,,25525.0,25525.0,25525.0, 60 months,10.33%,546.49,B,B1,Logistics Coordinator ,6 years,MORTGAGE,75000.0,Verified,Mar-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=168605249,,debt_consolidation,Debt consolidation,018xx,MA,21.3,0.0,Sep-04,790.0,794.0,0.0,,,9.0,0.0,13967.0,30.10%,19.0,w,24253.58,24253.58,2171.31,2171.31,1271.42,899.89,0.0,0.0,0.0,Aug-20,546.49,Sep-20,Aug-20,779.0,775.0,0.0,,1.0,Joint App,113000.0,17.19,Verified,0.0,0.0,337966.0,0.0,2.0,1.0,1.0,12.0,28790.0,59.0,0.0,0.0,7767.0,45.0,46400.0,1.0,0.0,1.0,1.0,42246.0,27633.0,21.9,0.0,0.0,162.0,186.0,30.0,12.0,1.0,56.0,,12.0,,0.0,1.0,2.0,4.0,4.0,11.0,6.0,7.0,2.0,9.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,405516.0,42757.0,35400.0,48466.0,32547.0,780.0,784.0,Sep-01,0.0,1.0,6.0,32.8,2.0,6.0,0.0,0.0,,N,,,,,,,,,,,,,,,N,,,,,,,N
